dataset,rel_type,rel_num,augmentation,subj_position,subject,template,to_send,num_tokens_sub,unrelated_origin,corr_answer,repetition,num_tokens_obj
LAMA_Trex,Hu_original,P740,original,,Rosneft,[X] was founded in [Y] .,Rosneft was founded in ,,,Moscow,,
LAMA_Trex,Hu_original,P740,original,,El-P,[X] was founded in [Y] .,El-P was founded in ,,,Brooklyn,,
LAMA_Trex,Hu_original,P740,original,,The Polyphonic Spree,[X] was founded in [Y] .,The Polyphonic Spree was founded in ,,,Dallas,,
LAMA_Trex,Hu_original,P740,original,,Two Guys,[X] was founded in [Y] .,Two Guys was founded in ,,,Harrison,,
LAMA_Trex,Hu_original,P740,original,,The Fartz,[X] was founded in [Y] .,The Fartz was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Brain Records,[X] was founded in [Y] .,Brain Records was founded in ,,,Hamburg,,
LAMA_Trex,Hu_original,P740,original,,The Starlings,[X] was founded in [Y] .,The Starlings was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Kasino,[X] was founded in [Y] .,Kasino was founded in ,,,Brazil,,
LAMA_Trex,Hu_original,P740,original,,Givenchy,[X] was founded in [Y] .,Givenchy was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,The Agonist,[X] was founded in [Y] .,The Agonist was founded in ,,,Montreal,,
LAMA_Trex,Hu_original,P740,original,,J. G. Brill Company,[X] was founded in [Y] .,J. G. Brill Company was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Speedy Ortiz,[X] was founded in [Y] .,Speedy Ortiz was founded in ,,,Northampton,,
LAMA_Trex,Hu_original,P740,original,,The Pretty Things,[X] was founded in [Y] .,The Pretty Things was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,The Rattles,[X] was founded in [Y] .,The Rattles was founded in ,,,Hamburg,,
LAMA_Trex,Hu_original,P740,original,,The Walkabouts,[X] was founded in [Y] .,The Walkabouts was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,INXS,[X] was founded in [Y] .,INXS was founded in ,,,Sydney,,
LAMA_Trex,Hu_original,P740,original,,Fudge Tunnel,[X] was founded in [Y] .,Fudge Tunnel was founded in ,,,Nottingham,,
LAMA_Trex,Hu_original,P740,original,,Filippa K,[X] was founded in [Y] .,Filippa K was founded in ,,,Sweden,,
LAMA_Trex,Hu_original,P740,original,,CSR Limited,[X] was founded in [Y] .,CSR Limited was founded in ,,,Sydney,,
LAMA_Trex,Hu_original,P740,original,,Suez Environnement,[X] was founded in [Y] .,Suez Environnement was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,Fuck Buttons,[X] was founded in [Y] .,Fuck Buttons was founded in ,,,Bristol,,
LAMA_Trex,Hu_original,P740,original,,Kill Rock Stars,[X] was founded in [Y] .,Kill Rock Stars was founded in ,,,Olympia,,
LAMA_Trex,Hu_original,P740,original,,Hollerado,[X] was founded in [Y] .,Hollerado was founded in ,,,Ottawa,,
LAMA_Trex,Hu_original,P740,original,,Packard,[X] was founded in [Y] .,Packard was founded in ,,,Warren,,
LAMA_Trex,Hu_original,P740,original,,This Town Needs Guns,[X] was founded in [Y] .,This Town Needs Guns was founded in ,,,Oxford,,
LAMA_Trex,Hu_original,P740,original,,Bremer Vulkan,[X] was founded in [Y] .,Bremer Vulkan was founded in ,,,Bremen,,
LAMA_Trex,Hu_original,P740,original,,Was (Not Was),[X] was founded in [Y] .,Was (Not Was) was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,The Brothers Four,[X] was founded in [Y] .,The Brothers Four was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Co-operatives UK,[X] was founded in [Y] .,Co-operatives UK was founded in ,,,Manchester,,
LAMA_Trex,Hu_original,P740,original,,Your Vegas,[X] was founded in [Y] .,Your Vegas was founded in ,,,Leeds,,
LAMA_Trex,Hu_original,P740,original,,The Squirrels,[X] was founded in [Y] .,The Squirrels was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Kiss It Goodbye,[X] was founded in [Y] .,Kiss It Goodbye was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Scritti Politti,[X] was founded in [Y] .,Scritti Politti was founded in ,,,Leeds,,
LAMA_Trex,Hu_original,P740,original,,The Hampdens,[X] was founded in [Y] .,The Hampdens was founded in ,,,Perth,,
LAMA_Trex,Hu_original,P740,original,,Cock Sparrer,[X] was founded in [Y] .,Cock Sparrer was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,KAT-TUN,[X] was founded in [Y] .,KAT-TUN was founded in ,,,Tokyo,,
LAMA_Trex,Hu_original,P740,original,,Oscar Peterson,[X] was founded in [Y] .,Oscar Peterson was founded in ,,,Montreal,,
LAMA_Trex,Hu_original,P740,original,,Maserati,[X] was founded in [Y] .,Maserati was founded in ,,,Bologna,,
LAMA_Trex,Hu_original,P740,original,,Betsson,[X] was founded in [Y] .,Betsson was founded in ,,,Sweden,,
LAMA_Trex,Hu_original,P740,original,,Spacemen 3,[X] was founded in [Y] .,Spacemen 3 was founded in ,,,Rugby,,
LAMA_Trex,Hu_original,P740,original,,Sportfreunde Stiller,[X] was founded in [Y] .,Sportfreunde Stiller was founded in ,,,Munich,,
LAMA_Trex,Hu_original,P740,original,,Five Man Electrical Band,[X] was founded in [Y] .,Five Man Electrical Band was founded in ,,,Ottawa,,
LAMA_Trex,Hu_original,P740,original,,Off Course,[X] was founded in [Y] .,Off Course was founded in ,,,Japan,,
LAMA_Trex,Hu_original,P740,original,,Hades Almighty,[X] was founded in [Y] .,Hades Almighty was founded in ,,,Bergen,,
LAMA_Trex,Hu_original,P740,original,,Louisiana Voodoo,[X] was founded in [Y] .,Louisiana Voodoo was founded in ,,,Louisiana,,
LAMA_Trex,Hu_original,P740,original,,Telefunken,[X] was founded in [Y] .,Telefunken was founded in ,,,Berlin,,
LAMA_Trex,Hu_original,P740,original,,Excuse 17,[X] was founded in [Y] .,Excuse 17 was founded in ,,,Olympia,,
LAMA_Trex,Hu_original,P740,original,,Jackson Jackson,[X] was founded in [Y] .,Jackson Jackson was founded in ,,,Melbourne,,
LAMA_Trex,Hu_original,P740,original,,The Big Pink,[X] was founded in [Y] .,The Big Pink was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Pixies,[X] was founded in [Y] .,Pixies was founded in ,,,Boston,,
LAMA_Trex,Hu_original,P740,original,,Harry and the Potters,[X] was founded in [Y] .,Harry and the Potters was founded in ,,,Norwood,,
LAMA_Trex,Hu_original,P740,original,,Graffiti6,[X] was founded in [Y] .,Graffiti6 was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Oh Laura,[X] was founded in [Y] .,Oh Laura was founded in ,,,Stockholm,,
LAMA_Trex,Hu_original,P740,original,,NQ Arbuckle,[X] was founded in [Y] .,NQ Arbuckle was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,CSELT,[X] was founded in [Y] .,CSELT was founded in ,,,Turin,,
LAMA_Trex,Hu_original,P740,original,,Eni,[X] was founded in [Y] .,Eni was founded in ,,,Milan,,
LAMA_Trex,Hu_original,P740,original,,Forest City Lovers,[X] was founded in [Y] .,Forest City Lovers was founded in ,,,Toronto,,
LAMA_Trex,Hu_original,P740,original,,Dagong Global Credit Rating,[X] was founded in [Y] .,Dagong Global Credit Rating was founded in ,,,Beijing,,
LAMA_Trex,Hu_original,P740,original,,Slint,[X] was founded in [Y] .,Slint was founded in ,,,Kentucky,,
LAMA_Trex,Hu_original,P740,original,,Palladium Books,[X] was founded in [Y] .,Palladium Books was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,Thin Lizzy,[X] was founded in [Y] .,Thin Lizzy was founded in ,,,Dublin,,
LAMA_Trex,Hu_original,P740,original,,Curved Air,[X] was founded in [Y] .,Curved Air was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Crazy Eddie,[X] was founded in [Y] .,Crazy Eddie was founded in ,,,Brooklyn,,
LAMA_Trex,Hu_original,P740,original,,Thenewno2,[X] was founded in [Y] .,Thenewno2 was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Stiff Little Fingers,[X] was founded in [Y] .,Stiff Little Fingers was founded in ,,,Belfast,,
LAMA_Trex,Hu_original,P740,original,,The City Harmonic,[X] was founded in [Y] .,The City Harmonic was founded in ,,,Hamilton,,
LAMA_Trex,Hu_original,P740,original,,The Honorary Title,[X] was founded in [Y] .,The Honorary Title was founded in ,,,Brooklyn,,
LAMA_Trex,Hu_original,P740,original,,Samsung Electronics,[X] was founded in [Y] .,Samsung Electronics was founded in ,,,Seoul,,
LAMA_Trex,Hu_original,P740,original,,Jewish Publication Society,[X] was founded in [Y] .,Jewish Publication Society was founded in ,,,Philadelphia,,
LAMA_Trex,Hu_original,P740,original,,Youthmovies,[X] was founded in [Y] .,Youthmovies was founded in ,,,Oxford,,
LAMA_Trex,Hu_original,P740,original,,Fiat Chrysler Automobiles,[X] was founded in [Y] .,Fiat Chrysler Automobiles was founded in ,,,Turin,,
LAMA_Trex,Hu_original,P740,original,,Overkill Software,[X] was founded in [Y] .,Overkill Software was founded in ,,,Stockholm,,
LAMA_Trex,Hu_original,P740,original,,Red Lorry Yellow Lorry,[X] was founded in [Y] .,Red Lorry Yellow Lorry was founded in ,,,Leeds,,
LAMA_Trex,Hu_original,P740,original,,Codemasters,[X] was founded in [Y] .,Codemasters was founded in ,,,Warwickshire,,
LAMA_Trex,Hu_original,P740,original,,The Galvatrons,[X] was founded in [Y] .,The Galvatrons was founded in ,,,Geelong,,
LAMA_Trex,Hu_original,P740,original,,MTH Electric Trains,[X] was founded in [Y] .,MTH Electric Trains was founded in ,,,Columbia,,
LAMA_Trex,Hu_original,P740,original,,Here I Come Falling,[X] was founded in [Y] .,Here I Come Falling was founded in ,,,Springfield,,
LAMA_Trex,Hu_original,P740,original,,Kanye West,[X] was founded in [Y] .,Kanye West was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Ciara,[X] was founded in [Y] .,Ciara was founded in ,,,Atlanta,,
LAMA_Trex,Hu_original,P740,original,,Leonardo,[X] was founded in [Y] .,Leonardo was founded in ,,,Rome,,
LAMA_Trex,Hu_original,P740,original,,Chandler Motor Car,[X] was founded in [Y] .,Chandler Motor Car was founded in ,,,Cleveland,,
LAMA_Trex,Hu_original,P740,original,,Fake Problems,[X] was founded in [Y] .,Fake Problems was founded in ,,,Naples,,
LAMA_Trex,Hu_original,P740,original,,Bentvueghels,[X] was founded in [Y] .,Bentvueghels was founded in ,,,Rome,,
LAMA_Trex,Hu_original,P740,original,,Winterval,[X] was founded in [Y] .,Winterval was founded in ,,,Birmingham,,
LAMA_Trex,Hu_original,P740,original,,The Murder City Devils,[X] was founded in [Y] .,The Murder City Devils was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,The Motors,[X] was founded in [Y] .,The Motors was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,The White Stripes,[X] was founded in [Y] .,The White Stripes was founded in ,,,Detroit,,
LAMA_Trex,Hu_original,P740,original,,Clickteam,[X] was founded in [Y] .,Clickteam was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,The Whip,[X] was founded in [Y] .,The Whip was founded in ,,,Oldham,,
LAMA_Trex,Hu_original,P740,original,,While She Sleeps,[X] was founded in [Y] .,While She Sleeps was founded in ,,,Sheffield,,
LAMA_Trex,Hu_original,P740,original,,Grimaldi Group,[X] was founded in [Y] .,Grimaldi Group was founded in ,,,Naples,,
LAMA_Trex,Hu_original,P740,original,,Sexion d'Assaut,[X] was founded in [Y] .,Sexion d'Assaut was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,Suntribe,[X] was founded in [Y] .,Suntribe was founded in ,,,Estonia,,
LAMA_Trex,Hu_original,P740,original,,SM Prime Holdings,[X] was founded in [Y] .,SM Prime Holdings was founded in ,,,Manila,,
LAMA_Trex,Hu_original,P740,original,,The Cranberries,[X] was founded in [Y] .,The Cranberries was founded in ,,,Limerick,,
LAMA_Trex,Hu_original,P740,original,,"Woe, Is Me",[X] was founded in [Y] .,"Woe, Is Me was founded in ",,,Atlanta,,
LAMA_Trex,Hu_original,P740,original,,Walter Aircraft Engines,[X] was founded in [Y] .,Walter Aircraft Engines was founded in ,,,Prague,,
LAMA_Trex,Hu_original,P740,original,,M People,[X] was founded in [Y] .,M People was founded in ,,,Manchester,,
LAMA_Trex,Hu_original,P740,original,,Towers of London,[X] was founded in [Y] .,Towers of London was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,The Dresden Dolls,[X] was founded in [Y] .,The Dresden Dolls was founded in ,,,Boston,,
LAMA_Trex,Hu_original,P740,original,,Matt Thiessen,[X] was founded in [Y] .,Matt Thiessen was founded in ,,,Canton,,
LAMA_Trex,Hu_original,P740,original,,Gruntruck,[X] was founded in [Y] .,Gruntruck was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Karpe,[X] was founded in [Y] .,Karpe was founded in ,,,Oslo,,
LAMA_Trex,Hu_original,P740,original,,Daniel Diges,[X] was founded in [Y] .,Daniel Diges was founded in ,,,Spain,,
LAMA_Trex,Hu_original,P740,original,,Isotta Fraschini,[X] was founded in [Y] .,Isotta Fraschini was founded in ,,,Milan,,
LAMA_Trex,Hu_original,P740,original,,Celestiial,[X] was founded in [Y] .,Celestiial was founded in ,,,Minnesota,,
LAMA_Trex,Hu_original,P740,original,,Sonar Kollektiv,[X] was founded in [Y] .,Sonar Kollektiv was founded in ,,,Berlin,,
LAMA_Trex,Hu_original,P740,original,,Dirge Within,[X] was founded in [Y] .,Dirge Within was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Chipotle Mexican Grill,[X] was founded in [Y] .,Chipotle Mexican Grill was founded in ,,,Denver,,
LAMA_Trex,Hu_original,P740,original,,Realtek,[X] was founded in [Y] .,Realtek was founded in ,,,Taiwan,,
LAMA_Trex,Hu_original,P740,original,,Arch Enemy,[X] was founded in [Y] .,Arch Enemy was founded in ,,,Sweden,,
LAMA_Trex,Hu_original,P740,original,,Being as an Ocean,[X] was founded in [Y] .,Being as an Ocean was founded in ,,,Alpine,,
LAMA_Trex,Hu_original,P740,original,,OK Go,[X] was founded in [Y] .,OK Go was founded in ,,,Chicago,,
LAMA_Trex,Hu_original,P740,original,,Adam and the Ants,[X] was founded in [Y] .,Adam and the Ants was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Visma,[X] was founded in [Y] .,Visma was founded in ,,,Oslo,,
LAMA_Trex,Hu_original,P740,original,,Marianne Mendt,[X] was founded in [Y] .,Marianne Mendt was founded in ,,,Vienna,,
LAMA_Trex,Hu_original,P740,original,,Demon Hunter,[X] was founded in [Y] .,Demon Hunter was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Morning Parade,[X] was founded in [Y] .,Morning Parade was founded in ,,,Harlow,,
LAMA_Trex,Hu_original,P740,original,,The Clientele,[X] was founded in [Y] .,The Clientele was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Metronapoli,[X] was founded in [Y] .,Metronapoli was founded in ,,,Naples,,
LAMA_Trex,Hu_original,P740,original,,The Kelly Springfield Tire Company,[X] was founded in [Y] .,The Kelly Springfield Tire Company was founded in ,,,Springfield,,
LAMA_Trex,Hu_original,P740,original,,Edison Lighthouse,[X] was founded in [Y] .,Edison Lighthouse was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Telefilm Canada,[X] was founded in [Y] .,Telefilm Canada was founded in ,,,Montreal,,
LAMA_Trex,Hu_original,P740,original,,Harvey Danger,[X] was founded in [Y] .,Harvey Danger was founded in ,,,Seattle,,
LAMA_Trex,Hu_original,P740,original,,Caspian Airlines,[X] was founded in [Y] .,Caspian Airlines was founded in ,,,Tehran,,
LAMA_Trex,Hu_original,P740,original,,Marathon Oil,[X] was founded in [Y] .,Marathon Oil was founded in ,,,Houston,,
LAMA_Trex,Hu_original,P740,original,,A Pale Horse Named Death,[X] was founded in [Y] .,A Pale Horse Named Death was founded in ,,,Brooklyn,,
LAMA_Trex,Hu_original,P740,original,,Miracle Fortress,[X] was founded in [Y] .,Miracle Fortress was founded in ,,,Montreal,,
LAMA_Trex,Hu_original,P740,original,,Wolf Gang,[X] was founded in [Y] .,Wolf Gang was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Trenitalia,[X] was founded in [Y] .,Trenitalia was founded in ,,,Rome,,
LAMA_Trex,Hu_original,P740,original,,Skeletonwitch,[X] was founded in [Y] .,Skeletonwitch was founded in ,,,Athens,,
LAMA_Trex,Hu_original,P740,original,,SIE Bend Studio,[X] was founded in [Y] .,SIE Bend Studio was founded in ,,,Bend,,
LAMA_Trex,Hu_original,P740,original,,Coldplay,[X] was founded in [Y] .,Coldplay was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,The Squires,[X] was founded in [Y] .,The Squires was founded in ,,,Bristol,,
LAMA_Trex,Hu_original,P740,original,,Abraham & Straus,[X] was founded in [Y] .,Abraham & Straus was founded in ,,,Brooklyn,,
LAMA_Trex,Hu_original,P740,original,,Esselte,[X] was founded in [Y] .,Esselte was founded in ,,,Stockholm,,
LAMA_Trex,Hu_original,P740,original,,Boucheron,[X] was founded in [Y] .,Boucheron was founded in ,,,Paris,,
LAMA_Trex,Hu_original,P740,original,,The Fleetwoods,[X] was founded in [Y] .,The Fleetwoods was founded in ,,,Olympia,,
LAMA_Trex,Hu_original,P740,original,,Black Box Recorder,[X] was founded in [Y] .,Black Box Recorder was founded in ,,,London,,
LAMA_Trex,Hu_original,P740,original,,Mexx,[X] was founded in [Y] .,Mexx was founded in ,,,Netherlands,,
LAMA_Trex,Hu_original,P740,original,,John Olav Nilsen & Gjengen,[X] was founded in [Y] .,John Olav Nilsen & Gjengen was founded in ,,,Bergen,,
LAMA_Trex,Hu_original,P740,original,,Carbon Based Lifeforms,[X] was founded in [Y] .,Carbon Based Lifeforms was founded in ,,,Gothenburg,,
LAMA_Trex,Hu_original,P740,original,,LZ7,[X] was founded in [Y] .,LZ7 was founded in ,,,Manchester,,
LAMA_Trex,Hu_original,P740,original,,Ivoryline,[X] was founded in [Y] .,Ivoryline was founded in ,,,Tyler,,
LAMA_Trex,Hu_original,P740,original,,Circa Survive,[X] was founded in [Y] .,Circa Survive was founded in ,,,Philadelphia,,
